datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,calculated_aqi,temperature,humidity,wind_speed,precipitation,pressure,hour,dayofweek,month,dayofyear,weekofyear,season,temp_x_humidity,temp_x_pressure,wind_x_temp,aqi_lag_24hr,aqi_lag_48hr,aqi_lag_168hr,aqi_roll_avg_24hr,aqi_roll_avg_168hr,target_t_plus_1hr,target_t_plus_2hr,target_t_plus_3hr,target_t_plus_6hr,target_t_plus_12hr,target_t_plus_18hr,target_t_plus_24hr,target_daily_avg_t_plus_1day,target_daily_avg_t_plus_2day,target_daily_avg_t_plus_3day,target_daily_avg_t_plus_4day,target_daily_avg_t_plus_5day,target_daily_avg_t_plus_6day,target_daily_avg_t_plus_7day
2020-12-02 01:00:00,4.0,333.79,0.0,6.08,57.22,3.16,37.46,42.97,1.73,62.43333333333334,16.5,96.0,9.8,0.0,1015.6,1,2,12,337,49,Winter,1584.0,16757.4,161.70000000000002,70.7,63.66,171.3,84.29559232026145,77.22528338001868,68.08333333333334,74.2,72.24,95.84,72.24,108.0,148.56666666666666,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 02:00:00,4.0,397.21,0.12,10.37,56.51,4.23,40.85,46.27,1.74,68.08333333333334,16.3,96.0,9.9,0.0,1014.9,2,2,12,337,49,Winter,1564.8000000000002,16542.87,161.37,59.08333333333334,64.37,203.96666666666667,83.951147875817,76.5772675070028,74.2,72.24,81.54,98.71,87.80000000000001,106.16666666666669,144.93333333333334,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 03:00:00,4.0,453.95,1.22,12.0,60.08,5.25,44.52,49.81,1.65,74.2,16.1,96.0,11.1,0.0,1014.2,3,2,12,337,49,Winter,1545.6,16328.620000000004,178.71,50.5,63.66,150.73333333333335,84.326147875817,75.76843814192344,72.24,81.54,90.12,104.41176470588236,95.83333333333334,104.36666666666667,125.83333333333334,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 04:00:00,4.0,410.56,1.45,8.65,72.24,5.01,36.13,40.02,1.2,72.24,15.8,95.0,10.5,0.0,1014.1,4,2,12,337,49,Winter,1501.0,16022.78,165.9,50.07,66.52,135.9558823529412,85.31364787581698,75.31288258636789,81.54,90.12,95.84,100.20588235294116,93.35,116.76666666666668,85.12,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 05:00:00,4.0,367.17,1.03,6.6,81.54,5.07,32.27,35.65,1.27,81.54,16.8,94.0,11.1,0.0,1014.6,5,2,12,337,49,Winter,1579.2,17045.280000000002,186.48,60.08,66.52,121.23529411764706,86.237397875817,74.9336213818861,90.12,95.84,98.71,91.55,91.0,134.0,90.84,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 06:00:00,4.0,350.48,0.8,5.4,90.12,5.36,34.97,38.4,1.17,90.12,16.9,94.0,12.3,0.0,1014.9,6,2,12,337,49,Winter,1588.6,17151.809999999998,207.87,76.53,69.38,102.30882352941175,87.13156454248366,74.69733986928105,95.84,98.71,104.41176470588236,80.82,97.01666666666668,149.83333333333334,100.20588235294116,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 07:00:00,4.0,297.07,0.62,3.13,95.84,4.17,30.3,33.0,0.82,95.84,17.9,89.0,16.6,0.0,1015.7,7,2,12,337,49,Winter,1593.1,18181.03,297.14,94.41,74.39,91.55,87.69781454248367,74.62478734827265,98.71,104.41176470588236,100.20588235294116,72.24,108.0,148.56666666666666,106.51470588235296,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 08:00:00,4.0,283.72,0.51,3.0,98.71,3.82,29.22,31.55,0.67,98.71,19.7,80.0,16.0,0.0,1016.1,8,2,12,337,49,Winter,1576.0,20017.17,315.2,100.20588235294116,77.25,85.12,87.75739787581699,74.65032306255837,104.41176470588236,100.20588235294116,91.55,87.80000000000001,106.16666666666669,144.93333333333334,102.30882352941175,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 09:00:00,4.0,287.06,0.5,3.51,103.0,4.17,30.09,32.39,0.55,104.41176470588236,21.5,71.0,16.8,0.0,1016.2,9,2,12,337,49,Winter,1526.5,21848.3,361.2,98.71,78.68,83.69,87.69506944444446,74.73121591970121,100.20588235294116,91.55,80.82,95.83333333333334,104.36666666666667,125.83333333333334,91.55,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
2020-12-02 10:00:00,4.0,317.1,0.59,6.08,100.14,5.13,30.98,33.45,0.9,100.20588235294116,23.3,63.0,17.1,0.0,1015.5,10,2,12,337,49,Winter,1467.9,23661.15,398.43000000000006,85.12,74.39,84.4,87.93264297385622,74.85455975723623,91.55,80.82,72.24,93.35,116.76666666666668,85.12,80.82,47.49,52.76541666666666,42.18458333333333,38.18697916666667,53.80977777777778,65.35967361111112,96.84448120915033
